Block Points (rectangles)
X1 y1 x2 y2
0 165 29 190
30 165 59 190
60 165 89 190
90 165 119 190
120 165 150 190

600 165 629 190
630 165 659 190
660 165 689 190
690 165 719 190
720 165 750 190


0 290 29 315
30 290 59 315
60 290 89 315
90 290 119 315
120 290 149 315
150 290 179 315
180 290 209 315
210 290 239 315
240 290 269 315
270 290 300 315

450 290 479 315
480 290 509 315
510 290 539 315
540 290 569 315
570 290 599 315
600 290 629 315
630 290 659 315
660 290 689 315
690 290 719 315
720 290 750 315


0 440 29 465
30 440 59 465
60 440 90 465

660 440 689 465
690 440 719 465
720 440 750 465


180 415 209 440
210 415 239 440
240 415 269 440
270 415 299 440
300 415 329 440
330 415 359 440
360 415 389 440
390 415 419 440
420 415 449 440
450 415 479 440
480 415 509 440
510 415 539 440
540 415 569 440
570 415 599 440
600 415 630 440


0 565 29 590
30 565 59 590
60 565 89 590
90 565 119 590
120 565 149 590
150 565 179 590
180 565 209 590
210 565 240 590

510 565 539 590
540 565 569 590
570 565 599 590
600 565 629 590
630 565 659 590
660 565 689 590
690 565 719 590
720 565 750 590

